"","Date.Time","Creek","RUN","REF","NAC"
"1",2022-11-04 00:10:00,-0.237,1.172,1.312,1.311
"2",2022-11-04 00:20:00,-0.236,1.173,1.313,1.313
"3",2022-11-04 00:30:00,-0.235,1.17,1.313,1.311
"4",2022-11-04 00:40:00,-0.235,1.171,1.312,1.311
"5",2022-11-04 00:50:00,-0.237,1.17,1.315,1.314
"6",2022-11-04 01:00:00,-0.238,1.167,1.312,1.314
"7",2022-11-04 01:10:00,-0.236,1.17,1.316,1.315
"8",2022-11-04 01:20:00,-0.237,1.166,1.313,1.313
"9",2022-11-04 01:30:00,-0.236,1.168,1.315,1.313
"10",2022-11-04 01:40:00,-0.238,1.166,1.313,1.314
"11",2022-11-04 01:50:00,-0.239,1.165,1.314,1.313
"12",2022-11-04 02:00:00,-0.239,1.166,1.31,1.311
"13",2022-11-04 02:10:00,-0.239,1.164,1.311,1.312
"14",2022-11-04 02:20:00,-0.238,1.164,1.31,1.312
"15",2022-11-04 02:30:00,-0.239,1.162,1.31,1.312
"16",2022-11-04 02:40:00,-0.239,1.162,1.309,1.31
"17",2022-11-04 02:50:00,-0.241,1.16,1.31,1.31
"18",2022-11-04 03:00:00,-0.239,1.16,1.31,1.311
"19",2022-11-04 03:10:00,-0.239,1.16,1.31,1.31
"20",2022-11-04 03:20:00,-0.239,1.163,1.312,1.313
"21",2022-11-04 03:30:00,-0.236,1.163,1.312,1.314
"22",2022-11-04 03:40:00,-0.237,1.163,1.313,1.314
"23",2022-11-04 03:50:00,-0.237,1.162,1.311,1.313
"24",2022-11-04 04:00:00,-0.237,1.16,1.31,1.313
"25",2022-11-04 04:10:00,-0.237,1.16,1.308,1.313
"26",2022-11-04 04:20:00,-0.241,1.16,1.307,1.311
"27",2022-11-04 04:30:00,-0.24,1.163,1.308,1.31
"28",2022-11-04 04:40:00,-0.24,1.159,1.308,1.312
"29",2022-11-04 04:50:00,-0.238,1.16,1.307,1.311
"30",2022-11-04 05:00:00,-0.237,1.159,1.307,1.312
"31",2022-11-04 05:10:00,-0.24,1.159,1.306,1.31
"32",2022-11-04 05:20:00,-0.239,1.159,1.308,1.31
"33",2022-11-04 05:30:00,-0.239,1.158,1.308,1.31
"34",2022-11-04 05:40:00,-0.235,1.161,1.307,1.313
