"","Date.Time","Creek","North_RUN","North_REF","NAC","South_RUN","South_REF"
"1",2021-11-19,1.099,1.518,1.505,1.503,1.46,1.507
"2",2021-11-19 00:10:00,1.044,1.514,1.504,1.498,1.456,1.502
"3",2021-11-19 00:20:00,0.974,1.516,1.501,1.502,1.456,1.5
"4",2021-11-19 00:30:00,0.907,1.517,1.503,1.502,1.457,1.504
"5",2021-11-19 00:40:00,0.843,1.516,1.503,1.506,1.461,1.502
"6",2021-11-19 00:50:00,0.766,1.515,1.505,1.506,1.46,1.502
"7",2021-11-19 01:00:00,0.696,1.517,1.507,1.507,1.457,1.503
"8",2021-11-19 01:10:00,0.624,1.515,1.503,1.506,1.457,1.501
"9",2021-11-19 01:20:00,0.549,1.516,1.506,1.51,1.463,1.502
"10",2021-11-19 01:30:00,0.472,1.517,1.51,1.513,1.467,1.505
"11",2021-11-19 01:40:00,0.392,1.516,1.512,1.513,1.468,1.503
"12",2021-11-19 01:50:00,0.322,1.515,1.515,1.51,1.468,1.503
"13",2021-11-19 02:00:00,0.247,1.518,1.517,1.515,1.471,1.508
"14",2021-11-19 02:10:00,0.167,1.516,1.516,1.514,1.471,1.504
"15",2021-11-19 02:20:00,0.093,1.515,1.519,1.515,1.475,1.509
"16",2021-11-19 02:30:00,0.02,1.516,1.521,1.514,1.476,1.509
"17",2021-11-19 02:40:00,-0.059,1.515,1.52,1.514,1.483,1.508
"18",2021-11-19 02:50:00,-0.132,1.516,1.521,1.517,1.487,1.51
"19",2021-11-19 03:00:00,-0.202,1.518,1.52,1.517,1.491,1.511
"20",2021-11-19 03:10:00,-0.265,1.519,1.52,1.518,1.501,1.511
"21",2021-11-19 03:20:00,-0.333,1.522,1.524,1.52,1.503,1.513
"22",2021-11-19 03:30:00,-0.398,1.522,1.524,1.523,1.504,1.514
"23",2021-11-19 03:40:00,-0.459,1.521,1.524,1.523,1.505,1.515
"24",2021-11-19 03:50:00,-0.519,1.521,1.522,1.523,1.503,1.515
"25",2021-11-19 04:00:00,-0.573,1.522,1.523,1.524,1.501,1.514
"26",2021-11-19 04:10:00,-0.629,1.519,1.522,1.521,1.5,1.511
"27",2021-11-19 04:20:00,-0.665,1.519,1.522,1.523,1.5,1.513
"28",2021-11-19 04:30:00,-0.696,1.522,1.525,1.526,1.503,1.515
"29",2021-11-19 04:40:00,-0.693,1.519,1.523,1.525,1.498,1.511
"30",2021-11-19 04:50:00,-0.693,1.521,1.523,1.523,1.496,1.514
"31",2021-11-19 05:00:00,-0.692,1.522,1.526,1.526,1.498,1.516
"32",2021-11-19 05:10:00,-0.693,1.523,1.525,1.524,1.493,1.514
"33",2021-11-19 05:20:00,-0.692,1.523,1.524,1.526,1.497,1.517
"34",2021-11-19 05:30:00,-0.696,1.52,1.523,1.523,1.49,1.511
"35",2021-11-19 05:40:00,-0.695,1.52,1.524,1.524,1.491,1.514
"36",2021-11-19 05:50:00,-0.691,1.521,1.526,1.525,1.493,1.516
"37",2021-11-19 06:00:00,-0.694,1.521,1.522,1.523,1.489,1.514
"38",2021-11-19 06:10:00,-0.693,1.522,1.523,1.524,1.491,1.516
"39",2021-11-19 06:20:00,-0.694,1.521,1.524,1.524,1.488,1.514
"40",2021-11-19 06:30:00,-0.694,1.52,1.523,1.523,1.486,1.517
"41",2021-11-19 06:40:00,-0.696,1.518,1.521,1.522,1.486,1.515
"42",2021-11-19 06:50:00,-0.696,1.518,1.522,1.519,1.482,1.512
"43",2021-11-19 07:00:00,-0.695,1.52,1.523,1.519,1.484,1.514
"44",2021-11-19 07:10:00,-0.695,1.518,1.521,1.52,1.482,1.514
"45",2021-11-19 07:20:00,-0.697,1.518,1.522,1.519,1.48,1.514
"46",2021-11-19 07:30:00,-0.595,1.52,1.522,1.521,1.482,1.515
"47",2021-11-19 07:40:00,-0.495,1.518,1.523,1.528,1.48,1.512
"48",2021-11-19 07:50:00,-0.399,1.517,1.522,1.529,1.481,1.513
"49",2021-11-19 08:00:00,-0.3,1.519,1.524,1.526,1.478,1.515
"50",2021-11-19 08:10:00,-0.191,1.516,1.52,1.526,1.478,1.512
"51",2021-11-19 08:20:00,-0.077,1.519,1.523,1.528,1.48,1.514
"52",2021-11-19 08:30:00,0.057,1.516,1.521,1.527,1.477,1.513
"53",2021-11-19 08:40:00,0.172,1.518,1.521,1.525,1.477,1.515
"54",2021-11-19 08:50:00,0.29,1.518,1.523,1.527,1.479,1.513
"55",2021-11-19 09:00:00,0.419,1.517,1.521,1.525,1.475,1.511
"56",2021-11-19 09:10:00,0.561,1.52,1.522,1.529,1.478,1.515
"57",2021-11-19 09:20:00,0.674,1.519,1.525,1.528,1.478,1.517
"58",2021-11-19 09:30:00,0.767,1.518,1.523,1.526,1.478,1.513
