"","Site","Sub_Site","Overall_Treatment","Site_Treatment","Year","Time_Since_Restoration","Tidal_Range","Platform_Flood_Duration","Platform_HT_Frequency","Platform_Drainage_Depth_cm","Root_Flood_Duration","Root_HT_Frequency","Root_Drainage_Depth_cm","Drainage_Amplitude_cm","Time_Relative_To_Metonic_Low_2015"
"1","Broad Cove","","Runnel","Broad Cove - Runnel",2021,4,"Microtidal",41.4,31.6,4.7,58.6,40.4,-0.3,12.6,6
"2","Broad Cove","","Runnel","Broad Cove - Runnel",2024,7,"Microtidal",9.6,12.1,14.4,30.5,19,9.4,13.2,9
"3","Broad Cove","","Reference","Broad Cove - Reference",2024,7,"Microtidal",2,13.8,21.5,29.7,22.4,16.5,22.7,9
"4","Canonchet","","Runnel","Canonchet - Runnel",2022,7,"Microtidal",44.3,57.9,6.4,53.7,71.9,1.4,12.4,7
"5","Canonchet","","Runnel","Canonchet - Runnel",2024,9,"Microtidal",6.9,43.1,10.3,43.5,51.7,5.3,13.9,9
"6","Canonchet","","Reference","Canonchet - Reference",2022,7,"Microtidal",21.1,45.6,8.4,53.5,64.9,3.4,14.7,7
"7","Canonchet","","Reference","Canonchet - Reference",2024,9,"Microtidal",11.2,32.8,11.4,46,51.7,6.4,20,9
"8","Canonchet","","No Action","Canonchet - No Action",2022,7,"Microtidal",100,61.4,-9,100,75.4,-14,6.1,7
"9","Canonchet","","No Action","Canonchet - No Action",2024,9,"Microtidal",99.4,44.8,-5.5,100,55.2,-10.5,5.8,9
"10","Jacobs Point","","Runnel","Jacobs Point - Runnel",2021,5,"Microtidal",11.1,42.1,7.4,31.6,54.4,2.4,2.7,6
"11","Jacobs Point","","Runnel","Jacobs Point - Runnel",2024,8,"Microtidal",2.6,24.1,8.8,34.5,41.4,3.8,8.9,9
"12","Jacobs Point","","Reference","Jacobs Point - Reference",2021,5,"Microtidal",8.9,56.1,3.6,84,63.2,-1.4,9.6,6
"13","Jacobs Point","","Reference","Jacobs Point - Reference",2024,8,"Microtidal",4,43.1,13.2,17.2,50,8.2,17.5,9
"14","Jacobs Point","","No Action","Jacobs Point - No Action",2021,5,"Microtidal",76.1,63.2,0.4,100,68.4,-4.6,4.5,6
"15","Jacobs Point","","No Action","Jacobs Point - No Action",2024,8,"Microtidal",12.9,48.3,6.3,72.5,51.7,1.3,18.3,9
"16","Middlebridge","","Runnel","Middlebridge - Runnel",2022,6,"Microtidal",55.9,86,4.6,73.5,93,-0.4,8.2,7
"17","Middlebridge","","Runnel","Middlebridge - Runnel",2024,8,"Microtidal",13.6,58.6,18.4,18.2,74.1,13.4,15.4,9
"18","Middlebridge","","Reference","Middlebridge - Reference",2022,6,"Microtidal",35.3,56.1,7.2,48.5,68.4,2.2,13.2,7
"19","Middlebridge","","Reference","Middlebridge - Reference",2024,8,"Microtidal",6.3,27.6,14,35.5,46.6,9,18.4,9
"20","Middlebridge","","No Action","Middlebridge - No Action",2022,6,"Microtidal",59.9,42.1,0.4,98.6,61.4,-4.6,6,7
"21","Middlebridge","","No Action","Middlebridge - No Action",2024,8,"Microtidal",4.9,20.7,6.5,59,37.9,1.5,10.3,9
"22","Narrow River","","Runnel","Narrow River - Runnel",2022,6,"Microtidal",7.5,22.8,22.4,13.8,36.8,17.4,11.1,7
"23","Narrow River","","Runnel","Narrow River - Runnel",2024,8,"Microtidal",12,17.2,18.2,15.4,32.8,13.2,14,9
"24","Narrow River","","Reference","Narrow River - Reference",2022,6,"Microtidal",29,31.6,5.5,37.7,43.9,0.5,9.5,7
"25","Narrow River","","Reference","Narrow River - Reference",2024,8,"Microtidal",48.3,24.1,2.7,70.7,43.1,-2.3,11.8,9
"26","Narrow River","","No Action","Narrow River - No Action",2022,6,"Microtidal",32.9,10.5,8.7,40.6,26.3,3.7,13.4,7
"27","Narrow River","","No Action","Narrow River - No Action",2024,8,"Microtidal",2.7,6.9,6.4,49,19,1.4,11,9
"28","Potters Pond","","Runnel","Potters Pond - Runnel",2021,3,"Microtidal",42.3,85.7,6.3,67.4,94.6,1.3,7.9,6
"29","Potters Pond","","Runnel","Potters Pond - Runnel",2024,6,"Microtidal",29.2,56.9,9.1,59.1,74.1,4.1,11.2,9
"30","Potters Pond","","Reference","Potters Pond - Reference",2021,3,"Microtidal",45.8,46.4,2.4,80.5,78.6,-2.6,10.3,6
"31","Potters Pond","","Reference","Potters Pond - Reference",2024,6,"Microtidal",24,31,8.8,42.7,51.7,3.8,10.4,9
"32","Potters Pond","","No Action","Potters Pond - No Action",2021,3,"Microtidal",68.1,94.6,1.6,96.8,100,-3.4,6,6
"33","Potters Pond","","No Action","Potters Pond - No Action",2024,6,"Microtidal",82.4,75.9,-0.4,90.4,87.9,-5.4,22.9,9
"34","Round Marsh","","Runnel","Round Marsh - Runnel",2024,10,"Microtidal",9.4,37.9,6.4,67.4,51.7,1.4,12.6,9
"35","Round Marsh","","Reference","Round Marsh - Reference",2021,7,"Microtidal",2.4,50,4.8,83.6,58.9,-0.2,3.4,6
"36","Round Marsh","","Reference","Round Marsh - Reference",2024,10,"Microtidal",3,19,6.1,61.5,36.2,1.1,7.3,9
"37","Round Marsh","","No Action","Round Marsh - No Action",2021,7,"Microtidal",11.9,67.9,2.3,96,71.4,-2.7,4.1,6
"38","Round Marsh","","No Action","Round Marsh - No Action",2024,10,"Microtidal",16,41.4,4.5,74.8,51.7,-0.5,10.3,9
"39","Sapowet","North","Runnel","Sapowet - North - Runnel",2022,4,"Microtidal",2.3,10.3,18.7,11.8,13.8,13.7,14,7
"40","Sapowet","North","Runnel","Sapowet - North - Runnel",2024,6,"Microtidal",10.2,33.3,9.1,38.6,43.9,4.1,11.8,9
"41","Sapowet","North","Reference","Sapowet - North - Reference",2022,4,"Microtidal",1.5,10.3,27.6,2.2,15.5,22.6,21.6,7
"42","Sapowet","North","Reference","Sapowet - North - Reference",2024,6,"Microtidal",18.6,35.1,7.8,69,47.4,2.8,24,9
"43","Sapowet","South","Runnel","Sapowet - South - Runnel",2022,0,"Microtidal",5.1,13.8,14.8,13.6,25.9,9.8,9.7,7
"44","Sapowet","South","Runnel","Sapowet - South - Runnel",2024,2,"Microtidal",15,43.9,7.2,44.7,50.9,2.2,11,9
"45","Sapowet","South","No Action","Sapowet - South - No Action",2022,0,"Microtidal",1.5,10.3,15.3,2.7,12.1,10.3,9.7,7
"46","Sapowet","South","No Action","Sapowet - South - No Action",2024,2,"Microtidal",29.8,31.6,4.1,73.1,38.6,-0.9,10.6,9
"47","Weekapaug","","Runnel","Weekapaug - Runnel",2021,4,"Microtidal",76.2,96.4,0.3,97.1,100,-4.7,7.7,6
"48","Weekapaug","","Runnel","Weekapaug - Runnel",2024,7,"Microtidal",21.8,67.2,11,29.1,82.8,6,17.1,9
"49","Weekapaug","","Reference","Weekapaug - Reference",2021,4,"Microtidal",23.5,87.3,10.7,40.4,100,5.7,6.4,6
"50","Weekapaug","","Reference","Weekapaug - Reference",2024,7,"Microtidal",15.2,56.9,10.9,25.9,69,5.9,7.4,9
"51","Weekapaug","","No Action","Weekapaug - No Action",2021,4,"Microtidal",94.2,100,-4,100,100,-9,8,6
"52","Weekapaug","","No Action","Weekapaug - No Action",2024,7,"Microtidal",31.5,72.4,7.6,69,86.2,2.6,12.6,9
"53","Winnapaug","","Runnel","Winnapaug - Runnel",2021,8,"Microtidal",34.1,92.7,6.9,42.2,100,1.9,5.6,6
"54","Winnapaug","","Runnel","Winnapaug - Runnel",2024,11,"Microtidal",48.8,62.1,2.9,86.5,72.4,-2.1,14.5,9
