Site,Sub_Site,State,Creek,Year,Dates_Deployment,Dates_Analysis,MLT_NAVD88m,MLLT_NAVD88m,MHT_NAVD88m,MHHT_NAVD88m,MSL_NAVD88m,SpringTide_NAVD88m,Tidal_Range_m,NOAA_Tidal_Gauge,Tidal_Gauge_Serial_Number,Tidal_Regime
Broad Cove,,MA,Creek,2021,8/11/21 - 9/10/21,2021-08-11 - 2021-09-10,0.017,0.015,0.95,0.971,0.466,1.305,1.331,Newport,8452660,Microtidal
Broad Cove,,MA,Creek,2024,5/29/24 - 7/14/24,2024-06-07 - 2024-07-07,0.251,0.248,0.808,0.871,0.529,1.126,1.331,Newport,8452660,Microtidal
Canonchet,,RI,Creek,2022,8/10/22 - 9/23/22,2022-08-17 - 2022-09-16,0.002,-0.016,0.454,0.503,0.228,0.764,1.056,Newport,8452660,Microtidal
Canonchet,,RI,Creek,2024,5/29/24 - 7/14/24,2024-06-07 - 2024-07-07,0.088,0.085,0.379,0.432,0.233,0.691,1.056,Newport,8452660,Microtidal
Jacobs Point,,RI,Creek,2021,9/16/21 - 10/16/21,2021-09-19 - 2021-10-19,0.189,0.186,0.808,0.864,0.501,1.263,1.056,Newport,8452660,Microtidal
Jacobs Point,,RI,Creek,2024,5/29/24 - 7/14/24,2024-06-07 - 2024-07-07,0.194,0.19,0.734,0.807,0.464,1.09,1.056,Newport,8452660,Microtidal
Middlebridge,,RI,Creek,2022,8/10/22 - 9/23/22,2022-08-21 - 2022-09-20,0,-0.016,0.448,0.497,0.224,0.764,1.056,Newport,8452660,Microtidal
Middlebridge,,RI,Creek,2024,5/29/24 - 7/14/24,2024-06-07 - 2024-07-07,0.049,0.034,0.34,0.381,0.193,0.647,1.056,Newport,8452660,Microtidal
Narrow River,,RI,Creek,2022,6/24/22 - 9/30/22,2022-07-28 - 2022-08-27,-0.025,-0.046,0.382,0.438,0.177,0.654,1.056,Newport,8452660,Microtidal
Narrow River,,RI,Creek,2024,5/29/24 - 7/14/24,2024-06-07 - 2024-07-07,-0.013,-0.018,0.339,0.393,0.165,0.639,1.056,Newport,8452660,Microtidal
Potters Pond,,RI,Creek,2021,8/11/21 - 9/10/21,2021-08-12 - 2021-09-11,-0.022,-0.043,0.264,0.295,0.122,0.552,1.056,Newport,8452660,Microtidal
Potters Pond,,RI,Creek,2024,5/29/24 - 7/14/24,2024-06-07 - 2024-07-07,-0.022,-0.075,0.19,0.227,0.065,0.452,1.056,Newport,8452660,Microtidal
Round Marsh,,RI,Creek,2021,9/16/21 - 10/16/21,2021-09-17 - 2021-10-17,-0.192,-0.207,0.679,0.736,0.243,1.006,1.056,Newport,8452660,Microtidal
Round Marsh,,RI,Creek,2024,5/29/24 - 7/14/24,2024-06-07 - 2024-07-07,-0.25,0.257,0.575,0.643,0.166,0.887,1.056,Newport,8452660,Microtidal
Sapowet,North,RI,Creek,2022,6/23/22 - 8/8/22,2022-07-01 - 2022-07-31,-0.317,0.328,0.543,0.624,0.117,0.932,1.056,Newport,8452660,Microtidal
Sapowet,North,RI,Creek,2024,5/29/24 - 7/14/24,2024-06-07 - 2024-07-07,0.103,0.101,0.629,0.705,0.366,0.971,1.056,Newport,8452660,Microtidal
Sapowet,South,RI,Creek,2022,6/23/22 - 8/8/22,2022-07-01 - 2022-07-31,-0.317,0.328,0.543,0.624,0.117,0.932,1.056,Newport,8452660,Microtidal
Sapowet,South,RI,Creek,2024,5/29/24 - 7/14/24,2024-06-07 - 2024-07-07,0.103,0.101,0.629,0.705,0.366,0.971,1.056,Newport,8452660,Microtidal
Weekapaug,,RI,Creek,2021,8/11/21 - 9/10/21,2021-08-12 - 2021-09-03,0.093,0.105,0.377,0.437,0.139,0.755,1.056,Newport,8452660,Microtidal
Weekapaug,,RI,Creek,2024,5/29/24 - 7/14/24,2024-06-07 - 2024-07-07,-0.159,0.162,0.254,0.317,0.046,0.563,1.056,Newport,8452660,Microtidal
Winnapaug,,RI,Creek,2021,8/11/21 - 9/10/21,2021-08-12 - 2021-09-11,-0.098,0.107,0.387,0.446,0.142,0.755,1.056,Newport,8452660,Microtidal
Winnapaug,,RI,Creek,2024,5/29/24 - 7/14/24,2024-06-07 - 2024-07-07,0.199,0.204,0.266,0.332,0.034,0.588,1.056,Newport,8452660,Microtidal
Moody Marsh,,ME,Creek,2021,11/18/21 - 12/17/21,2021-11-18 - 2021-12-18,-0.021,-0.028,1.252,1.38,0.616,2.047,2.487,Seavey Island,8419870,Mesotidal
Moody Marsh,,ME,Creek,2024,7/31/24 - 9/10/24,2024-08-06 - 2024-09-05,-0.064,-0.073,1.292,1.443,0.616,1.969,2.487,Seavey Island,8419870,Mesotidal
Pine Island,North,MA,Creek,2021,9/26/21 - 10/26/21,2021-09-25 - 2021-10-25,0.213,0.211,1.376,1.471,0.789,1.76,2.893,Boston,8443970,Mesotidal
Pine Island,North,MA,Creek,2024,9/3/24 - 10/11/24,2024-09-07 - 2024-10-07,,,,,,,2.893,Boston,8443970,
Pine Island,South,MA,Creek,2021,9/26/21 - 10/26/21,2021-09-25 - 2021-10-25,0.213,0.211,1.376,1.471,0.789,1.76,2.893,Boston,8443970,Mesotidal
Pine Island,South,MA,Creek,2024,9/3/24 - 10/11/24,2024-09-07 - 2024-10-07,,,,,,,2.893,Boston,8443970,
Plum Island - DPR,North,MA,Creek,2021,11/8/21 - 12/17/21,2021-11-18 - 2021-12-18,-0.713,0.724,1.293,1.405,0.29,1.971,2.893,Boston,8443970,Mesotidal
Plum Island - DPR,North,MA,Creek,2024,8/9/24 - 9/15/24,2024-08-13 - 2024-09-12,-0.224,0.23,1.397,1.529,0.594,2,2.893,Boston,8443970,Mesotidal
Plum Island - DPR,South,MA,Creek,2021,11/8/21 - 12/17/21,2021-11-18 - 2021-12-18,-0.713,0.724,1.293,1.405,0.29,1.971,2.893,Boston,8443970,Mesotidal
Plum Island - DPR,South,MA,Creek,2024,8/9/24 - 9/15/24,2024-08-13 - 2024-09-12,-0.224,0.23,1.397,1.529,0.594,2,2.893,Boston,8443970,Mesotidal
Plum Island - PLHA,North,MA,Creek,2022,6/9/22 - 7/21/22,2022-06-15 - 2022-07-15,-0.065,-0.066,1.398,1.537,0.66,1.989,2.893,Boston,8443970,Mesotidal
Plum Island - PLHA,North,MA,Creek,2024,8/9/24 - 9/15/24,2024-08-13 - 2024-09-12,-0.224,-0.23,1.397,1.529,0.594,2,2.893,Boston,8443970,Mesotidal
Plum Island - PLHA,South,MA,Creek,2022,6/9/22 - 7/21/22,2022-06-15 - 2022-07-15,-0.065,-0.066,1.398,1.537,0.66,1.989,2.893,Boston,8443970,Mesotidal
Plum Island - PLHA,South,MA,Creek,2024,8/9/24 - 9/15/24,2024-08-13 - 2024-09-12,-0.224,-0.23,1.397,1.529,0.594,2,2.893,Boston,8443970,Mesotidal
Essex,North,MA,North Creek,2022,2022-11-03 - 2022-12-04,2022-11-04 - 2022-12-04,-0.239,-0.245,1.232,1.364,0.496,2.038,2.893,Boston,8443970,Mesotidal
Essex,North,MA,North Creek,2024,2024-08-14 - 2024-10-14,2024-08-30 - 2024-09-29,0.058,0.055,1.396,1.534,0.727,2.175,2.893,Boston,8443970,Mesotidal
