Date.Time,Creek,RUN,REF,NAC
8/14/2024 0:00,0.079,1.125,1.323,1.349
8/14/2024 0:10,0.077,1.124,1.323,1.348
8/14/2024 0:20,0.078,1.123,1.322,1.346
8/14/2024 0:30,0.076,1.123,1.322,1.348
8/14/2024 0:40,0.078,1.123,1.324,1.348
8/14/2024 0:50,0.078,1.123,1.322,1.347
8/14/2024 1:00,0.076,1.122,1.324,1.349
8/14/2024 1:10,0.077,1.123,1.322,1.349
8/14/2024 1:20,0.075,1.123,1.321,1.349
8/14/2024 1:30,0.076,1.122,1.323,1.349
8/14/2024 1:40,0.077,1.122,1.321,1.349
8/14/2024 1:50,0.075,1.124,1.322,1.348
8/14/2024 2:00,0.075,1.123,1.322,1.348
8/14/2024 2:10,0.076,1.122,1.322,1.348
8/14/2024 2:20,0.076,1.122,1.323,1.351
8/14/2024 2:30,0.076,1.124,1.323,1.349
8/14/2024 2:40,0.075,1.123,1.323,1.349
8/14/2024 2:50,0.077,1.126,1.324,1.35
8/14/2024 3:00,0.075,1.124,1.322,1.348
8/14/2024 3:10,0.076,1.124,1.324,1.35
8/14/2024 3:20,0.076,1.122,1.323,1.349
8/14/2024 3:30,0.076,1.124,1.323,1.349
8/14/2024 3:40,0.075,1.124,1.323,1.349
8/14/2024 3:50,0.074,1.123,1.322,1.349
8/14/2024 4:00,0.073,1.123,1.322,1.349
8/14/2024 4:10,0.075,1.121,1.322,1.35
8/14/2024 4:20,0.076,1.124,1.324,1.352
8/14/2024 4:30,0.075,1.123,1.323,1.349
8/14/2024 4:40,0.076,1.125,1.325,1.351
8/14/2024 4:50,0.096,1.123,1.322,1.348
8/14/2024 5:00,0.195,1.123,1.324,1.351
8/14/2024 5:10,0.283,1.123,1.322,1.35
8/14/2024 5:20,0.378,1.125,1.322,1.348
8/14/2024 5:30,0.459,1.126,1.325,1.351
8/14/2024 5:40,0.536,1.124,1.323,1.351
8/14/2024 5:50,0.601,1.125,1.324,1.351
8/14/2024 6:00,0.664,1.123,1.322,1.35
8/14/2024 6:10,0.715,1.123,1.322,1.349
8/14/2024 6:20,0.763,1.123,1.322,1.35
8/14/2024 6:30,0.786,1.124,1.322,1.35
8/14/2024 6:40,0.808,1.124,1.322,1.35
8/14/2024 6:50,0.823,1.122,1.322,1.348
8/14/2024 7:00,0.826,1.125,1.321,1.347
8/14/2024 7:10,0.821,1.122,1.32,1.347
8/14/2024 7:20,0.801,1.121,1.318,1.348
8/14/2024 7:30,0.79,1.119,1.318,1.347
8/14/2024 7:40,0.775,1.12,1.318,1.347
8/14/2024 7:50,0.751,1.12,1.317,1.345
8/14/2024 8:00,0.716,1.119,1.315,1.346
8/14/2024 8:10,0.69,1.12,1.315,1.346
8/14/2024 8:20,0.662,1.119,1.314,1.344
8/14/2024 8:30,0.619,1.117,1.312,1.343
8/14/2024 8:40,0.575,1.116,1.313,1.343
8/14/2024 8:50,0.526,1.117,1.312,1.343
8/14/2024 9:00,0.476,1.117,1.312,1.343
8/14/2024 9:10,0.423,1.117,1.311,1.343
8/14/2024 9:20,0.366,1.116,1.311,1.341
8/14/2024 9:30,0.307,1.114,1.308,1.34
8/14/2024 9:40,0.251,1.116,1.309,1.342
8/14/2024 9:50,0.191,1.115,1.308,1.342
8/14/2024 10:00,0.13,1.112,1.307,1.339
8/14/2024 10:10,0.075,1.11,1.305,1.338
8/14/2024 10:20,0.074,1.109,1.307,1.338
8/14/2024 10:30,0.076,1.108,1.307,1.337
8/14/2024 10:40,0.075,1.108,1.308,1.338
8/14/2024 10:50,0.075,1.104,1.305,1.336
8/14/2024 11:00,0.076,1.103,1.305,1.335
