Date.Time,Creek,North_RUN,North_REF,NAC,South_RUN,South_REF
11/19/2021 0:00,1.099,1.518,1.505,1.503,1.46,1.507
11/19/2021 0:10,1.044,1.514,1.504,1.498,1.456,1.502
11/19/2021 0:20,0.974,1.516,1.501,1.502,1.456,1.5
11/19/2021 0:30,0.907,1.517,1.503,1.502,1.457,1.504
11/19/2021 0:40,0.843,1.516,1.503,1.506,1.461,1.502
11/19/2021 0:50,0.766,1.515,1.505,1.506,1.46,1.502
11/19/2021 1:00,0.696,1.517,1.507,1.507,1.457,1.503
11/19/2021 1:10,0.624,1.515,1.503,1.506,1.457,1.501
11/19/2021 1:20,0.549,1.516,1.506,1.51,1.463,1.502
11/19/2021 1:30,0.472,1.517,1.51,1.513,1.467,1.505
11/19/2021 1:40,0.392,1.516,1.512,1.513,1.468,1.503
11/19/2021 1:50,0.322,1.515,1.515,1.51,1.468,1.503
11/19/2021 2:00,0.247,1.518,1.517,1.515,1.471,1.508
11/19/2021 2:10,0.167,1.516,1.516,1.514,1.471,1.504
11/19/2021 2:20,0.093,1.515,1.519,1.515,1.475,1.509
11/19/2021 2:30,0.02,1.516,1.521,1.514,1.476,1.509
11/19/2021 2:40,-0.059,1.515,1.52,1.514,1.483,1.508
11/19/2021 2:50,-0.132,1.516,1.521,1.517,1.487,1.51
11/19/2021 3:00,-0.202,1.518,1.52,1.517,1.491,1.511
11/19/2021 3:10,-0.265,1.519,1.52,1.518,1.501,1.511
11/19/2021 3:20,-0.333,1.522,1.524,1.52,1.503,1.513
11/19/2021 3:30,-0.398,1.522,1.524,1.523,1.504,1.514
11/19/2021 3:40,-0.459,1.521,1.524,1.523,1.505,1.515
11/19/2021 3:50,-0.519,1.521,1.522,1.523,1.503,1.515
11/19/2021 4:00,-0.573,1.522,1.523,1.524,1.501,1.514
11/19/2021 4:10,-0.629,1.519,1.522,1.521,1.5,1.511
11/19/2021 4:20,-0.665,1.519,1.522,1.523,1.5,1.513
11/19/2021 4:30,-0.696,1.522,1.525,1.526,1.503,1.515
11/19/2021 4:40,-0.693,1.519,1.523,1.525,1.498,1.511
11/19/2021 4:50,-0.693,1.521,1.523,1.523,1.496,1.514
11/19/2021 5:00,-0.692,1.522,1.526,1.526,1.498,1.516
11/19/2021 5:10,-0.693,1.523,1.525,1.524,1.493,1.514
11/19/2021 5:20,-0.692,1.523,1.524,1.526,1.497,1.517
11/19/2021 5:30,-0.696,1.52,1.523,1.523,1.49,1.511
11/19/2021 5:40,-0.695,1.52,1.524,1.524,1.491,1.514
11/19/2021 5:50,-0.691,1.521,1.526,1.525,1.493,1.516
11/19/2021 6:00,-0.694,1.521,1.522,1.523,1.489,1.514
11/19/2021 6:10,-0.693,1.522,1.523,1.524,1.491,1.516
11/19/2021 6:20,-0.694,1.521,1.524,1.524,1.488,1.514
11/19/2021 6:30,-0.694,1.52,1.523,1.523,1.486,1.517
11/19/2021 6:40,-0.696,1.518,1.521,1.522,1.486,1.515
11/19/2021 6:50,-0.696,1.518,1.522,1.519,1.482,1.512
11/19/2021 7:00,-0.695,1.52,1.523,1.519,1.484,1.514
11/19/2021 7:10,-0.695,1.518,1.521,1.52,1.482,1.514
11/19/2021 7:20,-0.697,1.518,1.522,1.519,1.48,1.514
11/19/2021 7:30,-0.595,1.52,1.522,1.521,1.482,1.515
11/19/2021 7:40,-0.495,1.518,1.523,1.528,1.48,1.512
11/19/2021 7:50,-0.399,1.517,1.522,1.529,1.481,1.513
11/19/2021 8:00,-0.3,1.519,1.524,1.526,1.478,1.515
11/19/2021 8:10,-0.191,1.516,1.52,1.526,1.478,1.512
11/19/2021 8:20,-0.077,1.519,1.523,1.528,1.48,1.514
11/19/2021 8:30,0.057,1.516,1.521,1.527,1.477,1.513
11/19/2021 8:40,0.172,1.518,1.521,1.525,1.477,1.515
11/19/2021 8:50,0.29,1.518,1.523,1.527,1.479,1.513
11/19/2021 9:00,0.419,1.517,1.521,1.525,1.475,1.511
11/19/2021 9:10,0.561,1.52,1.522,1.529,1.478,1.515
11/19/2021 9:20,0.674,1.519,1.525,1.528,1.478,1.517
11/19/2021 9:30,0.767,1.518,1.523,1.526,1.478,1.513
11/19/2021 9:40,0.891,1.519,1.523,1.527,1.475,1.514
11/19/2021 9:50,0.977,1.518,1.523,1.527,1.476,1.514
11/19/2021 10:00,1.053,1.52,1.524,1.53,1.475,1.515
11/19/2021 10:10,1.126,1.52,1.523,1.529,1.475,1.514
