"","model","term","sumsq","meansq","NumDF","DenDF","statistic","p.value"
"1","Flooding Duration","Time_Since_Restoration",47.755124628077,47.755124628077,1,80.7770335002442,0.104540133327905,0.747283415845639
"2","Flooding Duration","Overall_Treatment",5520.74533427503,2760.37266713751,2,74.9911522082774,6.04269654628015,0.00368865826873206
"3","Flooding Duration","Time_Since_Restoration:Overall_Treatment",46.5061930833116,23.2530965416558,2,79.8459507501123,0.0509030566181818,0.950401613496637
"4","High Tide Frequency","Time_Since_Restoration",8.02979587187328,8.02979587187328,1,109.932682069577,0.0511390602267351,0.821512866609964
"5","High Tide Frequency","Overall_Treatment",176.795425521266,88.3977127606332,2,99.0231727041917,0.562975202471372,0.571324126128594
"6","High Tide Frequency","Time_Since_Restoration:Overall_Treatment",409.671769239339,204.83588461967,2,109.857930696563,1.30453062659463,0.275468859777475
"7","Drainage Depth","Time_Since_Restoration",5.69733658817713,5.69733658817713,1,90.2360580819491,0.259248939076896,0.611879458100721
"8","Drainage Depth","Overall_Treatment",320.374627846041,160.18731392302,2,81.2450903895774,7.28908860225999,0.00122581740716664
"9","Drainage Depth","Time_Since_Restoration:Overall_Treatment",24.9489630256062,12.4744815128031,2,89.4737671333238,0.567632971595816,0.568893512884747
"10","Drainage Amplitude","Time_Since_Restoration",41.4245125036412,41.4245125036412,1,79.6696178396302,2.53810844570638,0.115087847798746
"11","Drainage Amplitude","Overall_Treatment",105.55113791314,52.7755689565702,2,70.4523240734757,3.2335955017903,0.0453347716337138
"12","Drainage Amplitude","Time_Since_Restoration:Overall_Treatment",14.9314992195542,7.4657496097771,2,78.6766693658061,0.457431626659186,0.634579612921086
