,Site_Subsite,MHT_diff,MHHT_diff,SpringTide_diff,,,,,,
1,Broad Cove,-0.142,-0.1,-0.179,0.142,0.1,0.179,0.078714286,0.079333333,0.105619048
2,Canonchet,-0.075,-0.071,-0.073,0.075,0.071,0.073,,,
3,Essex - North,0.164,0.17,0.137,0.164,0.17,0.137,,,
4,Essex - South,0.064,0.097,0.44,0.064,0.097,0.44,,,
5,Ipswich,-0.087,-0.069,0.175,0.087,0.069,0.175,,,
6,Jacobs Point,-0.074,-0.057,-0.173,0.074,0.057,0.173,,,
7,Kents Island,-0.019,-0.054,0.025,0.019,0.054,0.025,,,
8,Middlebridge,-0.108,-0.116,-0.117,0.108,0.116,0.117,,,
9,Moody Marsh,0.04,0.063,-0.078,0.04,0.063,0.078,,,
10,Narrow River,-0.043,-0.045,-0.015,0.043,0.045,0.015,,,
11,Old Town Hill,0.033,0.003,0.07,0.033,0.003,0.07,,,
12,Pine Island - North,NA,NA,NA,#VALUE!,#VALUE!,#VALUE!,,,
13,Pine Island - South,NA,NA,NA,#VALUE!,#VALUE!,#VALUE!,,,
14,Plum Island - DPR - North,0.104,0.124,0.029,0.104,0.124,0.029,,,
15,Plum Island - DPR - South,0.104,0.124,0.029,0.104,0.124,0.029,,,
16,Plum Island - PLHA - North,-0.001,-0.008,0.011,0.001,0.008,0.011,,,
17,Plum Island - PLHA - South,-0.001,-0.008,0.011,0.001,0.008,0.011,,,
18,Potters Pond,-0.074,-0.068,-0.1,0.074,0.068,0.1,,,
19,Round Marsh,-0.104,-0.093,-0.119,0.104,0.093,0.119,,,
20,Sapowet - North,0.086,0.081,0.039,0.086,0.081,0.039,,,
21,Sapowet - South,0.086,0.081,0.039,0.086,0.081,0.039,,,
22,Weekapaug,-0.123,-0.12,-0.192,0.123,0.12,0.192,,,
23,Winnapaug,-0.121,-0.114,-0.167,0.121,0.114,0.167,,,
