"","Date","Season","Year_0","Time_Since_Restoration","State","Salt_Marsh","Site","Sub_Site","Site_Treatment","Overall_Treatment","Tidal_Regime","Marsh_Condition","Marsh_Condition_plot","Transect","Distance_m","Habitat","Impacted","Elevation","Transect_ID","Plot_ID","Local_Tideshed_ID","Study_Tideshed_ID","Plot_Notes","TOTAL","MUD","DEAD","WATER","WRACK","DITCH_FILL","ALGAL_MAT","GREEN_ALG","VAUCH","ASCO","SPALT","SPPAT","DISPI","JUGER","SADEP","AGMAR","AMCAN","ARANS","ATPAT","BAHAL","BOMAR","BOROB","CHRUB","ELROS","FERUB","IVFRU","JUBAL","LYNAS","LYMAR","MYPEN","PAVIR","PHAUS","PLMAR","PLODO","PORAM","PUMAR","RUMAR","SABIG","SOSEM","SPCAE","SPPEC","SPMAR","SULIN","SUMAR","SYSUB","SYTEN","TECAN","TRMAR","AGSTO","AMCANA","ASTER","CASEP","CAHOR","CUSCUTA","DICLA","ELPAL","ELREP","ELVIR","EUGRA","HIODO","JUVIR","LACTUCA","LYSAL","MEAQU","PACLA","PAQUI","SACAN","SCAME","SCPUN","SOLIDAGO","SYNOV","TORAD","TYANG","TYLAT","UNK","Canopyo_Height_cm","Thatch_cm","Site_Specific","abiotic_cover","live_cover","high_marsh_grams","algae_cover","richness"
"1","4-Aug-21",2021,2017,4,"Rhode Island","Taunton River","Broad Cove","","Runnel","Runnel","Microtidal","Panne","","T1",0,"","Yes",0.969,"Broad Cove Runnel 1","Broad Cove__2021_Runnel_0","Broad Cove_3",6,"west stake",100,5,40,0,0,0,0,0,0,0,0,0,25,15,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,NA,"Broad Cove",45,55,40,0,3
"2","4-Aug-21",2021,2017,4,"Rhode Island","Taunton River","Broad Cove","","Runnel","Runnel","Microtidal","Panne","","T1",10,"","Yes",1.009,"Broad Cove Runnel 1","Broad Cove__2021_Runnel_10","Broad Cove_3",6,"",100,0,35,0,0,0,0,0,0,0,0,10,5,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,NA,"Broad Cove",35,65,15,0,4
"3","4-Aug-21",2021,2017,4,"Rhode Island","Taunton River","Broad Cove","","Runnel","Runnel","Microtidal","Panne","","T1",20,"","Yes",1.009,"Broad Cove Runnel 1","Broad Cove__2021_Runnel_20","Broad Cove_3",6,"",100,2,13,0,0,0,0,0,0,0,0,0,25,35,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,NA,"Broad Cove",15,85,60,0,4
"4","4-Aug-21",2021,2017,4,"Rhode Island","Taunton River","Broad Cove","","Runnel","Runnel","Microtidal","Panne","","T1",30,"","Yes",1.029,"Broad Cove Runnel 1","Broad Cove__2021_Runnel_30","Broad Cove_3",6,"",100,0,40,0,0,0,0,0,0,0,0,5,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,NA,"Broad Cove",40,60,45,0,3
"5","4-Aug-21",2021,2017,4,"Rhode Island","Taunton River","Broad Cove","","Runnel","Runnel","Microtidal","Panne","","T1",40,"","Yes",1.039,"Broad Cove Runnel 1","Broad Cove__2021_Runnel_40","Broad Cove_3",6,"",100,0,10,0,0,0,0,0,0,0,0,55,25,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,NA,"Broad Cove",10,90,85,0,4
"6","4-Aug-21",2021,2017,4,"Rhode Island","Taunton River","Broad Cove","","Runnel","Runnel","Microtidal","Panne","","T2",0,"","Yes",0.969,"Broad Cove Runnel 2","Broad Cove__2021_Runnel_0","Broad Cove_7",8,"east stake",100,0,20,0,0,0,0,0,0,0,0,62,15,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,NA,"Broad Cove",20,80,77,0,4
"7","4-Aug-21",2021,2017,4,"Rhode Island","Taunton River","Broad Cove","","Runnel","Runnel","Microtidal","Panne","","T2",8,"","Yes",1.024,"Broad Cove Runnel 2","Broad Cove__2021_Runnel_8","Broad Cove_7",8,"",100,0,10,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,NA,"Broad Cove",10,90,50,0,2
"8","4-Aug-21",2021,2017,4,"Rhode Island","Taunton River","Broad Cove","","Runnel","Runnel","Microtidal","Panne","","T2",16,"","Yes",1.039,"Broad Cove Runnel 2","Broad Cove__2021_Runnel_16","Broad Cove_7",8,"",100,0,10,0,0,0,0,0,0,0,0,75,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,NA,"Broad Cove",10,90,90,0,2
"9","4-Aug-21",2021,2017,4,"Rhode Island","Taunton River","Broad Cove","","Runnel","Runnel","Microtidal","Panne","","T2",24,"","Yes",1.079,"Broad Cove Runnel 2","Broad Cove__2021_Runnel_24","Broad Cove_7",8,"",100,0,20,0,0,0,0,0,0,0,0,60,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,38,NA,"Broad Cove",20,80,75,0,3
"10","4-Aug-21",2021,2017,4,"Rhode Island","Taunton River","Broad Cove","","Reference","Reference","Microtidal","Panne","","T1",1,"","Yes",0.974,"Broad Cove Reference 1","Broad Cove__2021_Reference_1","Broad Cove_6",4,"near north stake",100,5,20,0,0,0,0,0,0,0,0,0,20,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,NA,"Broad Cove",25,75,72,0,3
