"","Season","Year_0","Time_Since_Restoration","Salt_Marsh","Site","State","Overall_Treatment","Marsh_Condition","Tidal_Regime","Plot_count","Elevation_mean","Elevation_se","MUD_mean","MUD_se","DEAD_mean","DEAD_se","WATER_mean","WATER_se","WRACK_mean","WRACK_se","DITCH_FILL_mean","DITCH_FILL_se","ALGAL_MAT_mean","ALGAL_MAT_se","GREEN_ALG_mean","GREEN_ALG_se","VAUCH_mean","VAUCH_se","ASCO_mean","ASCO_se","SPALT_mean","SPALT_se","SPPAT_mean","SPPAT_se","DISPI_mean","DISPI_se","JUGER_mean","JUGER_se","SADEP_mean","SADEP_se","AGMAR_mean","AGMAR_se","AMCAN_mean","AMCAN_se","ARANS_mean","ARANS_se","ATPAT_mean","ATPAT_se","BAHAL_mean","BAHAL_se","BOMAR_mean","BOMAR_se","BOROB_mean","BOROB_se","CHRUB_mean","CHRUB_se","ELROS_mean","ELROS_se","FERUB_mean","FERUB_se","IVFRU_mean","IVFRU_se","JUBAL_mean","JUBAL_se","LYNAS_mean","LYNAS_se","LYMAR_mean","LYMAR_se","MYPEN_mean","MYPEN_se","PAVIR_mean","PAVIR_se","PHAUS_mean","PHAUS_se","PLMAR_mean","PLMAR_se","PLODO_mean","PLODO_se","PORAM_mean","PORAM_se","PUMAR_mean","PUMAR_se","RUMAR_mean","RUMAR_se","SABIG_mean","SABIG_se","SOSEM_mean","SOSEM_se","SPCAE_mean","SPCAE_se","SPPEC_mean","SPPEC_se","SPMAR_mean","SPMAR_se","SULIN_mean","SULIN_se","SUMAR_mean","SUMAR_se","SYSUB_mean","SYSUB_se","SYTEN_mean","SYTEN_se","TECAN_mean","TECAN_se","TRMAR_mean","TRMAR_se","AGSTO_mean","AGSTO_se","AMCANA_mean","AMCANA_se","ASTER_mean","ASTER_se","CASEP_mean","CASEP_se","CAHOR_mean","CAHOR_se","CUSCUTA_mean","CUSCUTA_se","DICLA_mean","DICLA_se","ELPAL_mean","ELPAL_se","ELREP_mean","ELREP_se","ELVIR_mean","ELVIR_se","EUGRA_mean","EUGRA_se","HIODO_mean","HIODO_se","JUVIR_mean","JUVIR_se","LACTUCA_mean","LACTUCA_se","LYSAL_mean","LYSAL_se","MEAQU_mean","MEAQU_se","PACLA_mean","PACLA_se","PAQUI_mean","PAQUI_se","SACAN_mean","SACAN_se","SCAME_mean","SCAME_se","SCPUN_mean","SCPUN_se","SOLIDAGO_mean","SOLIDAGO_se","SYNOV_mean","SYNOV_se","TORAD_mean","TORAD_se","TYANG_mean","TYANG_se","TYLAT_mean","TYLAT_se","UNK_mean","UNK_se","Canopyo_Height_cm_mean","Canopyo_Height_cm_se","Thatch_cm_mean","Thatch_cm_se","Site_Specific_mean","Site_Specific_se","abiotic_cover_mean","abiotic_cover_se","live_cover_mean","live_cover_se","high_marsh_grams_mean","high_marsh_grams_se","algae_cover_mean","algae_cover_se","richness_mean","richness_se"
"1",2021,2011,10,"Ogunquit Marsh","Moody Marsh","Maine","No Action","Pool","Mesotidal",14,1.534,0.011,44.7,9,5.5,2.2,68.6,11,0,0,0,0,0,0,0.4,0.4,0,0,0,0,28.2,6.5,17.9,7.3,0,0,0,0,0.4,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.9,2.9,NA,NA,NA,NA,50.6,7.9,49.4,7.9,17.9,7.3,0.4,0.4,1.6,0.2
"2",2021,2011,10,"Ogunquit Marsh","Moody Marsh","Maine","Reference","Pool","Mesotidal",13,1.432,0.006,1,0.5,8.6,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,1.2,30,7.1,50.4,6.6,2.5,1.3,1.7,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.1,2.3,1.1,0,0,0,0,0,0,1.2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.2,1.7,NA,NA,NA,NA,9.6,1.3,90.4,1.3,82.8,2.4,0,0,4.5,0.4
"3",2021,2011,10,"Ogunquit Marsh","Moody Marsh","Maine","Runnel","Pool","Mesotidal",17,1.241,0.04,27.6,7.6,4.4,0.9,0,0,0,0,0,0,0,0,0,0,3.2,1.4,0,0,29.9,5.9,21.2,6.3,0,0,0,0,1,0.7,0,0,0,0,0,0,0.6,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0,0,0,0,0,0,4.6,2.4,0,0,0,0,0.6,0.6,0,0,0,0,0,0,0,0,0,0,0,0,6.6,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.7,5.5,NA,NA,NA,NA,35.2,8.1,64.8,8.1,21.8,6.3,3.2,1.4,2.7,0.5
"4",2021,2013,8,"Salt Ponds Region","Winnapaug","Rhode Island","No Action","Pool","Microtidal",8,0.203,0.016,30,8,10,2.1,17.5,10.1,0,0,0,0,0,0,0,0,0,0,0,0,21.2,4,10,4.1,12.5,6.5,0,0,16,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,3.3,NA,NA,NA,NA,40,6.8,60,6.8,22.5,7.9,0,0,2.8,0.2
"5",2021,2013,8,"Salt Ponds Region","Winnapaug","Rhode Island","Reference","Pool","Microtidal",9,0.252,0.011,4,1.8,14.9,2.2,0,0,1.7,1.7,0,0,0,0,0,0,0,0,0,0,9.4,4.7,10.4,3.6,55.6,7.4,1.1,1.1,0.7,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,1.3,0,0,0.3,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0.4,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.6,1.4,NA,NA,NA,NA,20.6,1.9,79.4,1.9,67.1,5.9,0,0,3.8,0.6
"6",2021,2013,8,"Salt Ponds Region","Winnapaug","Rhode Island","Runnel","Pool","Microtidal",10,0.226,0.025,28,7.6,8.5,2.4,6,6,0,0,0,0,0,0,0,0,0,0,0,0,25.9,6.7,6.2,3.3,9,4,0,0,18.7,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,2.5,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0.6,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.6,2.1,NA,NA,NA,NA,36.5,6.4,63.5,6.4,15.2,7.2,0,0,3.4,0.5
"7",2021,2014,7,"Narragansett Bay","Round Marsh","Rhode Island","No Action","Panne","Microtidal",13,0.633,0.015,26.1,6.8,8.8,2.1,23.1,9.3,0,0,0,0,0,0,1.2,0.8,0.4,0.4,0,0,43.1,5.5,8.5,4.5,6.2,4.1,0,0,6.1,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.8,2.2,NA,NA,NA,NA,36.5,6.1,63.9,6.4,14.7,6.8,1.5,0.9,2.8,0.2
"8",2021,2014,7,"Narragansett Bay","Round Marsh","Rhode Island","Reference","Panne","Microtidal",10,0.706,0.017,5.8,4.4,3.1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,3.9,57.1,8.7,27.2,7.8,0,0,0.3,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.1,3.8,NA,NA,NA,NA,8.9,4.5,91.1,4.5,84.3,8.6,0,0,2.7,0.3
"9",2021,2014,7,"Narragansett Bay","Round Marsh","Rhode Island","Runnel","Panne","Microtidal",15,0.648,0.008,23.2,5,6.8,1.8,0.3,0.3,0,0,0,0,0,0,0,0,0.5,0.4,0,0,18.3,4.5,31.2,7.5,17.3,7,0,0,3.1,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.9,1.8,NA,NA,NA,NA,30.5,5.6,70.1,5.9,48.5,9.8,0.5,0.4,2.9,0.3
"10",2021,2015,6,"Parker River Estuary","Pine Island","Massachusetts","No Action","Pool","Mesotidal",12,1.53,0.009,20.7,5.3,4,1.3,16.7,11.2,0,0,0,0,6.7,6.7,7.5,5.4,0.2,0.2,0,0,29.4,10.4,12.9,4.1,13.3,5.9,1.2,1.3,0.2,0.2,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,4.1,NA,NA,NA,NA,39,9.1,61,9.1,27.5,10.1,14.3,8,1.8,0.3
