"","Season","Year_0","Time_Since_Restoration","Salt_Marsh","Site","State","Overall_Treatment","Tidal_Regime","Marsh_Condition","Transect","Plot_count","Elevation_mean","Elevation_se","MUD_mean","MUD_se","DEAD_mean","DEAD_se","WATER_mean","WATER_se","WRACK_mean","WRACK_se","DITCH_FILL_mean","DITCH_FILL_se","ALGAL_MAT_mean","ALGAL_MAT_se","GREEN_ALG_mean","GREEN_ALG_se","VAUCH_mean","VAUCH_se","ASCO_mean","ASCO_se","SPALT_mean","SPALT_se","SPPAT_mean","SPPAT_se","DISPI_mean","DISPI_se","JUGER_mean","JUGER_se","SADEP_mean","SADEP_se","AGMAR_mean","AGMAR_se","AMCAN_mean","AMCAN_se","ARANS_mean","ARANS_se","ATPAT_mean","ATPAT_se","BAHAL_mean","BAHAL_se","BOMAR_mean","BOMAR_se","BOROB_mean","BOROB_se","CHRUB_mean","CHRUB_se","ELROS_mean","ELROS_se","FERUB_mean","FERUB_se","IVFRU_mean","IVFRU_se","JUBAL_mean","JUBAL_se","LYNAS_mean","LYNAS_se","LYMAR_mean","LYMAR_se","MYPEN_mean","MYPEN_se","PAVIR_mean","PAVIR_se","PHAUS_mean","PHAUS_se","PLMAR_mean","PLMAR_se","PLODO_mean","PLODO_se","PORAM_mean","PORAM_se","PUMAR_mean","PUMAR_se","RUMAR_mean","RUMAR_se","SABIG_mean","SABIG_se","SOSEM_mean","SOSEM_se","SPCAE_mean","SPCAE_se","SPPEC_mean","SPPEC_se","SPMAR_mean","SPMAR_se","SULIN_mean","SULIN_se","SUMAR_mean","SUMAR_se","SYSUB_mean","SYSUB_se","SYTEN_mean","SYTEN_se","TECAN_mean","TECAN_se","TRMAR_mean","TRMAR_se","AGSTO_mean","AGSTO_se","AMCANA_mean","AMCANA_se","ASTER_mean","ASTER_se","CASEP_mean","CASEP_se","CAHOR_mean","CAHOR_se","CUSCUTA_mean","CUSCUTA_se","DICLA_mean","DICLA_se","ELPAL_mean","ELPAL_se","ELREP_mean","ELREP_se","ELVIR_mean","ELVIR_se","EUGRA_mean","EUGRA_se","HIODO_mean","HIODO_se","JUVIR_mean","JUVIR_se","LACTUCA_mean","LACTUCA_se","LYSAL_mean","LYSAL_se","MEAQU_mean","MEAQU_se","PACLA_mean","PACLA_se","PAQUI_mean","PAQUI_se","SACAN_mean","SACAN_se","SCAME_mean","SCAME_se","SCPUN_mean","SCPUN_se","SOLIDAGO_mean","SOLIDAGO_se","SYNOV_mean","SYNOV_se","TORAD_mean","TORAD_se","TYANG_mean","TYANG_se","TYLAT_mean","TYLAT_se","UNK_mean","UNK_se","Canopyo_Height_cm_mean","Canopyo_Height_cm_se","Thatch_cm_mean","Thatch_cm_se","Site_Specific_mean","Site_Specific_se","abiotic_cover_mean","abiotic_cover_se","live_cover_mean","live_cover_se","high_marsh_grams_mean","high_marsh_grams_se","algae_cover_mean","algae_cover_se","richness_mean","richness_se"
"1",2021,2011,10,"Ogunquit Marsh","Moody Marsh","Maine","No Action","Mesotidal","Pool","T1",5,1.498,0.015,36.6,14.8,8,5.8,56,19.6,0,0,0,0,0,0,1,1,0,0,0,0,16,8.3,30.2,17.4,0,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2.8,NA,NA,NA,NA,45.6,12.5,54.4,12.5,30.2,17.4,1,1,1.8,0.4
"2",2021,2011,10,"Ogunquit Marsh","Moody Marsh","Maine","No Action","Mesotidal","Pool","T2",9,1.554,0.01,49.2,11.8,4.1,1.3,75.6,13.6,0,0,0,0,0,0,0,0,0,0,0,0,35,8.4,11.1,5.9,0,0,0,0,0.6,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.2,4.1,NA,NA,NA,NA,53.3,10.5,46.7,10.5,11.1,5.9,0,0,1.6,0.3
"3",2021,2011,10,"Ogunquit Marsh","Moody Marsh","Maine","Reference","Mesotidal","Pool","T1",7,1.426,0.009,1.3,0.6,10.3,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,1.1,25,9.8,52.1,8.8,1.7,1.7,1.6,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.2,4.3,1.8,0,0,0,0,0,0,1.7,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.6,1.8,NA,NA,NA,NA,11.6,2.2,88.4,2.2,78.9,3.3,0,0,5,0.6
"4",2021,2011,10,"Ogunquit Marsh","Moody Marsh","Maine","Reference","Mesotidal","Pool","T2",6,1.44,0.006,0.7,0.7,6.7,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,2.5,35.8,10.7,48.3,10.8,3.3,2.1,1.8,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.8,3.4,NA,NA,NA,NA,7.3,0.7,92.7,0.7,87.5,2.5,0,0,3.8,0.4
"5",2021,2011,10,"Ogunquit Marsh","Moody Marsh","Maine","Runnel","Mesotidal","Pool","T1",8,1.244,0.071,18,9.3,4.8,1.7,0,0,0,0,0,0,0,0,0,0,4,2.6,0,0,30.2,8.3,21.9,9.1,0,0,0,0,1.6,1.5,0,0,0,0,0,0,1.2,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0,0,6.4,4.3,0,0,0,0,1.2,1.2,0,0,0,0,0,0,0,0,0,0,0,0,10.4,5.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.8,7.7,NA,NA,NA,NA,26.8,10.9,73.2,10.9,23.1,9.3,4,2.6,3.1,0.7
"6",2021,2011,10,"Ogunquit Marsh","Moody Marsh","Maine","Runnel","Mesotidal","Pool","T2",9,1.239,0.044,36.1,11.4,4.1,1,0,0,0,0,0,0,0,0,0,0,2.6,1.4,0,0,29.7,8.8,20.6,9.1,0,0,0,0,0.6,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.1,0,0,0,0,0,0,0,0,3,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.7,8.4,NA,NA,NA,NA,42.8,11.9,57.2,11.9,20.6,9.1,2.6,1.4,2.3,0.8
"7",2021,2013,8,"Salt Ponds Region","Winnapaug","Rhode Island","No Action","Microtidal","Pool","T1",4,0.208,0.02,26.2,5.5,11.2,3.1,7.5,7.5,0,0,0,0,0,0,0,0,0,0,0,0,25,4.6,11.2,7.2,0,0,0,0,26.2,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.2,6.3,NA,NA,NA,NA,37.5,6.3,62.5,6.3,11.2,7.2,0,0,2.5,0.3
"8",2021,2013,8,"Salt Ponds Region","Winnapaug","Rhode Island","No Action","Microtidal","Pool","T2",4,0.198,0.029,33.8,16,8.8,3.1,27.5,18.9,0,0,0,0,0,0,0,0,0,0,0,0,17.5,6.6,8.8,5.2,25,9.6,0,0,5.8,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.8,3,NA,NA,NA,NA,42.5,13.1,57.5,13.1,33.8,12.5,0,0,3,0.4
"9",2021,2013,8,"Salt Ponds Region","Winnapaug","Rhode Island","Reference","Microtidal","Pool","T1",4,0.274,0.017,3.8,3.8,13.5,4.7,0,0,3.8,3.8,0,0,0,0,0,0,0,0,0,0,3.8,2.4,9.2,3.2,57.5,9.5,2.5,2.5,1,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0.8,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0,1,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.2,1.5,NA,NA,NA,NA,21,2.9,79,2.9,69.2,5.8,0,0,4.5,1.3
"10",2021,2013,8,"Salt Ponds Region","Winnapaug","Rhode Island","Reference","Microtidal","Pool","T2",5,0.234,0.009,4.2,1.7,16,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,7.9,11.4,6.2,54,11.8,0,0,0.4,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.2,2.1,NA,NA,NA,NA,20.2,2.9,79.8,2.9,65.4,10.2,0,0,3.2,0.2
