"","Salt_Marsh","Season","Year_0","Time_Since_Restoration","Site","State","Overall_Treatment","Tidal_Regime","Marsh_Condition","Elevation_mean","SPALT_mean","abiotic_cover_mean","live_cover_mean","high_marsh_grams_mean","algae_cover_mean","richness_mean","Canopyo_Height_cm_mean","Thatch_cm_mean"
"1","Ogunquit Marsh",2021,2011,10,"Moody Marsh","Maine","No Action","Mesotidal","Pool",1.534,28.2,50.6,49.4,17.9,0.4,1.6,24.9,NA
"2","Ogunquit Marsh",2021,2011,10,"Moody Marsh","Maine","Reference","Mesotidal","Pool",1.432,2.2,9.6,90.4,82.8,0,4.5,23.2,NA
"3","Ogunquit Marsh",2021,2011,10,"Moody Marsh","Maine","Runnel","Mesotidal","Pool",1.241,29.9,35.2,64.8,21.8,3.2,2.7,31.7,NA
"4","Salt Ponds Region",2021,2013,8,"Winnapaug","Rhode Island","No Action","Microtidal","Pool",0.203,21.2,40,60,22.5,0,2.8,27,NA
"5","Salt Ponds Region",2021,2013,8,"Winnapaug","Rhode Island","Reference","Microtidal","Pool",0.252,9.4,20.6,79.4,67.1,0,3.8,23.6,NA
"6","Salt Ponds Region",2021,2013,8,"Winnapaug","Rhode Island","Runnel","Microtidal","Pool",0.226,25.9,36.5,63.5,15.2,0,3.4,23.6,NA
"7","Narragansett Bay",2021,2014,7,"Round Marsh","Rhode Island","No Action","Microtidal","Panne",0.633,43.1,36.5,63.9,14.7,1.5,2.8,26.8,NA
"8","Narragansett Bay",2021,2014,7,"Round Marsh","Rhode Island","Reference","Microtidal","Panne",0.706,6.5,8.9,91.1,84.3,0,2.7,20.1,NA
"9","Narragansett Bay",2021,2014,7,"Round Marsh","Rhode Island","Runnel","Microtidal","Panne",0.648,18.3,30.5,70.1,48.5,0.5,2.9,24.9,NA
"10","Parker River Estuary",2021,2015,6,"Pine Island","Massachusetts","No Action","Mesotidal","Pool",1.53,29.4,39,61,27.5,14.3,1.8,27,NA
"11","Parker River Estuary",2021,2015,6,"Pine Island","Massachusetts","Reference","Mesotidal","Pool",1.509,2.5,10.4,89.6,86.5,0,2.4,17.5,NA
"12","Parker River Estuary",2021,2015,6,"Pine Island","Massachusetts","Runnel","Mesotidal","Pool",1.324,28.7,42.9,57.1,24.8,10.5,1.9,38.7,NA
"13","Narragansett Bay",2021,2016,5,"Jacobs Point","Rhode Island","No Action","Microtidal","Panne",0.788,20.6,48.1,51.9,31.3,0,2.1,37.4,NA
"14","Narragansett Bay",2021,2016,5,"Jacobs Point","Rhode Island","Reference","Microtidal","Panne",0.82,1.4,15,85,83,0,2.4,22.6,NA
"15","Narragansett Bay",2021,2016,5,"Jacobs Point","Rhode Island","Runnel","Microtidal","Panne",0.873,3,5.9,94.1,83.6,0,3.4,25,NA
"16","Parker River Estuary",2021,2016,5,"Plum Island - DPR","Massachusetts","Reference","Mesotidal","Panne",1.495,2.5,6.4,93.6,72.8,0,4.1,20.2,3.8
"17","Parker River Estuary",2021,2016,5,"Plum Island - DPR","Massachusetts","Runnel","Mesotidal","Panne",1.507,39.3,30,70,29.6,0,2.5,48.8,3.9
"18","Parker River Estuary",2021,2017,4,"Plum Island - DPR","Massachusetts","No Action","Mesotidal","Panne",1.494,40.4,36,64,19.4,3,2.2,37.3,NA
"19","Parker River Estuary",2021,2017,4,"Plum Island - DPR","Massachusetts","Reference","Mesotidal","Panne",1.501,3.2,8.6,91.4,85.2,0,2.5,22.6,NA
"20","Parker River Estuary",2021,2017,4,"Plum Island - DPR","Massachusetts","Runnel","Mesotidal","Panne",1.528,38.2,22.2,77.8,21.6,0.9,3.1,48.2,NA
"21","Salt Ponds Region",2021,2017,4,"Weekapaug","Rhode Island","No Action","Microtidal","Pool",0.175,11.9,63.1,36.2,21.9,4.4,2.1,25.5,NA
"22","Salt Ponds Region",2021,2017,4,"Weekapaug","Rhode Island","Reference","Microtidal","Pool",0.245,8.8,28.1,71.9,58,0.6,3.6,27.8,NA
"23","Salt Ponds Region",2021,2017,4,"Weekapaug","Rhode Island","Runnel","Microtidal","Pool",0.199,38.2,50.7,49.3,10.2,14.2,1.8,22.8,NA
"24","Taunton River",2021,2017,4,"Broad Cove","Rhode Island","Reference","Microtidal","Panne",1.007,0.6,22.6,77.4,62.6,0,3.8,29.1,NA
"25","Taunton River",2021,2017,4,"Broad Cove","Rhode Island","Runnel","Microtidal","Panne",1.018,0,22.8,77.2,59.7,0,3.2,46.6,NA
"26","Salt Ponds Region",2021,2018,3,"Potters Pond","Rhode Island","No Action","Microtidal","Pool",0.122,24,54.3,45.7,21.7,26,1.7,24.3,NA
"27","Salt Ponds Region",2021,2018,3,"Potters Pond","Rhode Island","Reference","Microtidal","Pool",0.246,24,17.7,82.3,57.8,0,2.3,26.9,NA
"28","Salt Ponds Region",2021,2018,3,"Potters Pond","Rhode Island","Runnel","Microtidal","Pool",0.174,31.4,52.2,47.8,12.4,4.6,1.4,19.1,NA
"29","Parker River Estuary",2021,2019,2,"Plum Island - DPR","Massachusetts","Runnel","Mesotidal","Panne",1.522,63.5,26.5,73.5,9.1,0,1.8,42.6,NA
"30","Narrow River Estuary",2022,2015,7,"Canonchet","Rhode Island","No Action","Microtidal","Panne",0.416,27.2,54.2,45.8,18.6,0,0.9,11.7,2.6
"31","Narrow River Estuary",2022,2015,7,"Canonchet","Rhode Island","Reference","Microtidal","Panne",0.453,17.1,14.2,85.8,65.9,0,3.9,24.9,5.8
"32","Narrow River Estuary",2022,2015,7,"Canonchet","Rhode Island","Runnel","Microtidal","Panne",0.428,30.4,29.5,70.5,30.8,0,2.8,19.6,2.6
"33","Narrow River Estuary",2022,2016,6,"Middlebridge","Rhode Island","No Action","Microtidal","Pool",0.454,25.1,66,34,6.6,0,1.1,10.5,1.2
"34","Narrow River Estuary",2022,2016,6,"Middlebridge","Rhode Island","Reference","Microtidal","Pool",0.427,18.1,23.9,76.1,56.6,0,2.6,26.7,5
"35","Narrow River Estuary",2022,2016,6,"Middlebridge","Rhode Island","Runnel","Microtidal","Pool",0.308,47.9,22.9,77.1,28.1,0,2.1,21.6,1.9
"36","Narrow River Estuary",2022,2016,6,"Narrow River","Rhode Island","No Action","Microtidal","Pool",0.508,26.7,45.4,54.6,26.7,0,1.2,14.9,4.2
"37","Narrow River Estuary",2022,2016,6,"Narrow River","Rhode Island","Reference","Microtidal","Pool",0.442,42.6,13.1,86.9,44.2,0,1.4,22,4
"38","Narrow River Estuary",2022,2016,6,"Narrow River","Rhode Island","Runnel","Microtidal","Pool",0.467,38.4,28.9,71.1,29,0,2.3,20,3.4
"39","Narragansett Bay",2022,2018,4,"Sapowet","Rhode Island","Reference","Microtidal","Pool",0.615,3.8,16.5,83.5,77.9,0,2.4,24.8,3
"40","Narragansett Bay",2022,2018,4,"Sapowet","Rhode Island","Runnel","Microtidal","Pool",0.626,13.7,51,49,31.9,0,1.9,18.4,2.8
"41","Parker River Estuary",2022,2020,2,"Old Town Hill","Massachusetts","No Action","Mesotidal","Panne",1.349,31.1,52.9,47.1,9.9,2.4,2,26.7,6.4
"42","Parker River Estuary",2022,2020,2,"Old Town Hill","Massachusetts","Reference","Mesotidal","Panne",1.485,5,14,86,79.8,0,3.8,26.5,6.6
"43","Parker River Estuary",2022,2020,2,"Old Town Hill","Massachusetts","Runnel","Mesotidal","Panne",1.366,48.5,31.5,68.5,19.8,1.3,2,28.7,7.6
"44","Great Marsh",2022,2022,0,"Essex","Massachusetts","No Action","Mesotidal","Pool",1.471,20.2,32.4,67.6,43.4,0,2.6,18.3,3
"45","Great Marsh",2022,2022,0,"Essex","Massachusetts","Reference","Mesotidal","Pool",1.407,1.8,12.9,87.1,85.3,0,2.2,16.4,4.6
"46","Great Marsh",2022,2022,0,"Essex","Massachusetts","Runnel","Mesotidal","Pool",1.413,43.1,40.2,59.8,16.3,0.5,2.1,21.1,2.4
"47","Great Marsh",2022,2022,0,"Ipswich","Massachusetts","No Action","Mesotidal","Panne",1.257,26.2,54.2,45.8,18.9,1.2,1.8,15.2,1.5
"48","Great Marsh",2022,2022,0,"Ipswich","Massachusetts","Reference","Mesotidal","Panne",1.203,18.2,17.9,82.1,62.8,0.7,3.6,20,5.2
"49","Great Marsh",2022,2022,0,"Ipswich","Massachusetts","Runnel","Mesotidal","Panne",1.327,27.1,60.6,39.4,9,10.4,1.6,11.8,0.2
"50","Narragansett Bay",2022,2022,0,"Sapowet","Rhode Island","No Action","Microtidal","Pool",0.666,28.3,51.7,48.3,19.8,7,1.6,20.6,4.9
"51","Narragansett Bay",2022,2022,0,"Sapowet","Rhode Island","Runnel","Microtidal","Pool",0.668,39.9,33.7,66.3,20.6,0,2,20.7,2
"52","Parker River Estuary",2022,2022,0,"Kents Island","Massachusetts","No Action","Mesotidal","Panne",1.42,30.3,58.5,41.5,9.9,0,1.7,20.1,NA
"53","Parker River Estuary",2022,2022,0,"Kents Island","Massachusetts","Reference","Mesotidal","Panne",1.284,5.6,6.5,93.5,84,0,3.5,23.7,NA
"54","Parker River Estuary",2022,2022,0,"Kents Island","Massachusetts","Runnel","Mesotidal","Panne",1.365,36.1,46.2,53.8,15,7.6,2,23,NA
"55","Parker River Estuary",2022,2022,0,"Plum Island - PLHA","Massachusetts","No Action","Mesotidal","Pool",1.393,39.2,32.7,67.3,28.1,0.8,1.4,23.7,NA
