"","Site","Site_Treatment_ID","Sub_Site","Season","Time_Since_Restoration","Tidal_Regime","Marsh_Condition","abiotic_cover_RPI","canopy_height_RPI","high_marsh_grams_RPI","SPALT_RPI","RPI_total"
"1","Broad Cove","Broad Cove Runnel","",2021,4,"Microtidal","Panne",0.99,0,0.91,1,0.73
"2","Broad Cove","Broad Cove Runnel","",2024,7,"Microtidal","Panne",0.81,0,0.72,1,0.63
"3","Canonchet","Canonchet Runnel","",2022,7,"Microtidal","Panne",0.62,0.6,0.26,0,0.37
"4","Canonchet","Canonchet Runnel","",2024,9,"Microtidal","Panne",1,0.64,0.48,1,0.78
"5","Essex","Essex North Runnel","Site 2",2022,0,"Mesotidal","Pool",0,0.6,0,0.09,0.17
"6","Essex","Essex North Runnel","Site 2",2024,2,"Mesotidal","Pool",1,0.33,0.05,0.31,0.42
"7","Essex","Essex South Runnel","Site 1",2022,0,"Mesotidal","Pool",0.29,1,0,0,0.32
"8","Essex","Essex South Runnel","Site 1",2024,2,"Mesotidal","Pool",1,1,0,0,0.5
"9","Ipswich","Ipswich Runnel","Site 2",2022,0,"Mesotidal","Panne",0,0,0,0,0
"10","Ipswich","Ipswich Runnel","Site 2",2024,2,"Mesotidal","Panne",0,0.79,0,0,0.2
"11","Jacobs Point","Jacobs Point Runnel","",2021,5,"Microtidal","Panne",1,0.84,1,0.92,0.94
"12","Jacobs Point","Jacobs Point Runnel","",2024,8,"Microtidal","Panne",0.96,0,0.8,0.89,0.66
"13","Kents Island","Kents Island Runnel","Runnel 4",2022,0,"Mesotidal","Panne",0.24,0.81,0.07,0,0.28
"14","Kents Island","Kents Island Runnel","Runnel 4",2024,2,"Mesotidal","Panne",0.2,0,0.13,0.09,0.11
"15","Middlebridge","Middlebridge Runnel","",2022,6,"Microtidal","Pool",1,0.69,0.43,0,0.53
"16","Middlebridge","Middlebridge Runnel","",2024,8,"Microtidal","Pool",0.45,0.5,0.36,0,0.33
"17","Moody Marsh","Moody Marsh Runnel","",2021,10,"Mesotidal","Pool",0.38,0,0.06,0,0.11
"18","Moody Marsh","Moody Marsh Runnel","",2024,13,"Mesotidal","Pool",0.39,0.68,0.16,0.02,0.31
"19","Narrow River","Narrow River Runnel","",2022,6,"Microtidal","Pool",0.51,0.72,0.13,0.74,0.52
"20","Narrow River","Narrow River Runnel","",2024,8,"Microtidal","Pool",1,1,0.96,1,0.99
"21","Old Town Hill","Old Town Hill SC1 Runnel","Runnel 1",2022,2,"Mesotidal","Panne",0.55,0,0.14,0,0.17
"22","Old Town Hill","Old Town Hill SC1 Runnel","Runnel 1",2024,4,"Mesotidal","Panne",0.54,0.87,0.23,0,0.41
"23","Old Town Hill","Old Town Hill SC2 Runnel","Runnel 2",2022,2,"Mesotidal","Panne",0.64,0.41,0.42,0,0.37
"24","Old Town Hill","Old Town Hill SC2 Runnel","Runnel 2",2024,4,"Mesotidal","Panne",1,0.65,0.7,0.15,0.62
"25","Pine Island","Pine Island North Runnel","North",2021,6,"Mesotidal","Pool",0.45,0.66,0.45,0.6,0.54
"26","Pine Island","Pine Island North Runnel","North",2024,9,"Mesotidal","Pool",0.28,0,0.25,0.29,0.21
"27","Pine Island","Pine Island South Runnel","South",2021,6,"Mesotidal","Pool",0,0,0,0,0
"28","Pine Island","Pine Island South Runnel","South",2024,9,"Mesotidal","Pool",0,0,0,0,0
"29","Plum Island - DPR","Plum Island - DPR North Runnel","North",2021,2,"Mesotidal","Panne",0.32,0,0,0,0.08
"30","Plum Island - DPR","Plum Island - DPR North Runnel","North",2021,5,"Mesotidal","Panne",0.2,0,0.19,0.03,0.11
"31","Plum Island - DPR","Plum Island - DPR North Runnel","North",2024,5,"Mesotidal","Panne",0.13,0,0.11,0,0.06
"32","Plum Island - DPR","Plum Island - DPR North Runnel","North",2024,8,"Mesotidal","Panne",0.44,0,0.64,0.41,0.37
"33","Plum Island - DPR","Plum Island - DPR South Runnel","South",2021,4,"Mesotidal","Panne",0.5,0,0.03,0.06,0.15
"34","Plum Island - DPR","Plum Island - DPR South Runnel","South",2024,7,"Mesotidal","Panne",0.5,0,0.3,0.3,0.28
"35","Plum Island - PLHA","Plum Island - PLHA North Runnel","North",2022,0,"Mesotidal","Pool",0,0,0,0,0
"36","Plum Island - PLHA","Plum Island - PLHA North Runnel","North",2024,2,"Mesotidal","Pool",0,0,0,0,0
"37","Plum Island - PLHA","Plum Island - PLHA South Runnel","South",2022,0,"Mesotidal","Pool",0,0,0,0.5,0.12
"38","Plum Island - PLHA","Plum Island - PLHA South Runnel","South",2024,2,"Mesotidal","Pool",0,1,0.16,0.92,0.52
"39","Potters Pond","Potters Pond Runnel","",2021,3,"Microtidal","Pool",0.06,0,0,1,0.26
