"","model","term","sumsq","meansq","NumDF","DenDF","statistic","p.value"
"1","SPALT","Time_Since_Restoration",72.403867438648,72.403867438648,1,43.8277995245052,0.796029446401711,0.377155709828184
"2","SPALT","Tidal_Regime",215.053324557052,215.053324557052,1,41.1823518996529,2.36435959776673,0.13178351329998
"3","SPALT","Time_Since_Restoration:Tidal_Regime",72.4605308547676,72.4605308547676,1,43.827799525165,0.796652420689695,0.376970752093128
"4","High Marsh Graminoid","Time_Since_Restoration",227.589453750399,227.589453750399,1,36.9128184541163,3.72351926794955,0.0613641985845951
"5","High Marsh Graminoid","Tidal_Regime",238.520239481432,238.520239481432,1,40.5848331827315,3.90235440557403,0.0550458210429112
"6","High Marsh Graminoid","Time_Since_Restoration:Tidal_Regime",149.08856823747,149.08856823747,1,36.9128184549954,2.43919104033729,0.126870936869986
"7","Abiotic Cover","Time_Since_Restoration",83.3487269610144,83.3487269610144,1,43.0819175274329,1.27031945676964,0.265945333592875
"8","Abiotic Cover","Tidal_Regime",61.362937773909,61.362937773909,1,41.6601480290999,0.935233645682459,0.339087540683696
"9","Abiotic Cover","Time_Since_Restoration:Tidal_Regime",34.1595741499032,34.1595741499032,1,43.0819175267507,0.520626688130274,0.474472434067629
"10","Canopy Height","Time_Since_Restoration",473.959883095858,473.959883095858,1,42.0648258917014,8.69267169040917,0.00519613548588514
"11","Canopy Height","Tidal_Regime",53.0510799312919,53.0510799312919,1,41.7213850981941,0.972984501667427,0.329623153306502
"12","Canopy Height","Time_Since_Restoration:Tidal_Regime",3.47742132108571,3.47742132108571,1,42.0648258895174,0.0637777224434699,0.801851756700404
